"Date","Price","Open","High","Low","Vol.","Change %"
"24/01/2019","27,096.0","27,018.0","27,164.0","26,872.0","195.64K","0.41%"
"25/01/2019","27,602.0","27,112.0","27,618.0","27,104.0","242.21K","1.87%"
"28/01/2019","27,557.0","27,618.0","27,814.0","27,453.0","234.93K","-0.16%"
"29/01/2019","27,566.0","27,557.0","27,620.0","27,325.0","186.76K","0.03%"
"30/01/2019","27,552.0","27,567.0","27,666.0","27,375.0","31.02K","-0.05%"
"31/01/2019","28,055.0","27,648.0","28,075.0","27,625.0","177.79K","1.83%"
"01/02/2019","27,862.0","28,012.0","28,200.0","27,743.0","169.00K","-0.69%"
"04/02/2019","27,826.0","27,855.0","27,950.0","27,726.0","64.91K","-0.13%"
"06/02/2019","27,833.0","27,833.0","27,833.0","27,833.0","","0.03%"
"08/02/2019","27,951.0","27,662.0","27,960.0","27,450.0","110.64K","0.42%"
"11/02/2019","28,130.0","27,957.0","28,158.0","27,758.0","146.73K","0.64%"
"12/02/2019","28,123.0","28,144.0","28,220.0","27,916.0","149.57K","-0.02%"
"13/02/2019","28,400.0","28,117.0","28,509.0","28,102.0","180.50K","0.98%"
"14/02/2019","28,339.0","28,393.0","28,498.0","28,218.0","181.17K","-0.21%"
"15/02/2019","27,867.0","28,329.0","28,397.0","27,781.0","198.44K","-1.67%"
"18/02/2019","28,334.0","27,880.0","28,384.0","27,879.0","161.27K","1.68%"
"19/02/2019","28,155.0","28,323.0","28,448.0","28,128.0","171.90K","-0.63%"
"20/02/2019","28,510.0","28,145.0","28,573.0","28,038.0","194.99K","1.26%"
"21/02/2019","28,655.0","28,515.0","28,799.0","28,363.0","229.60K","0.51%"
"22/02/2019","28,806.0","28,653.0","28,864.0","28,417.0","243.02K","0.53%"
"25/02/2019","28,890.0","28,866.0","29,018.0","28,740.0","291.72K","0.29%"
"26/02/2019","28,727.0","28,912.0","29,114.0","28,702.0","226.03K","-0.56%"
"27/02/2019","28,864.0","28,728.0","28,959.0","28,685.0","33.77K","0.48%"
"28/02/2019","28,666.0","28,732.0","28,913.0","28,563.0","217.50K","-0.69%"
"01/03/2019","28,730.0","28,684.0","28,840.0","28,580.0","194.90K","0.22%"
"04/03/2019","28,885.0","28,740.0","29,255.0","28,642.0","230.36K","0.54%"
"05/03/2019","28,890.0","28,880.0","28,989.0","28,617.0","244.48K","0.02%"
"06/03/2019","29,029.0","28,897.0","29,086.0","28,846.0","204.77K","0.48%"
"07/03/2019","28,723.0","29,030.0","29,093.0","28,723.0","224.13K","-1.05%"
"08/03/2019","28,236.0","28,745.0","28,782.0","28,176.0","245.41K","-1.70%"
"11/03/2019","28,485.0","28,240.0","28,530.0","28,016.0","216.83K","0.88%"
"12/03/2019","28,905.0","28,480.0","28,990.0","28,445.0","201.20K","1.47%"
"13/03/2019","28,817.0","28,918.0","28,966.0","28,710.0","218.91K","-0.30%"
"14/03/2019","28,898.0","28,828.0","28,997.0","28,675.0","215.00K","0.28%"
"15/03/2019","29,046.0","28,900.0","29,250.0","28,756.0","226.88K","0.51%"
"18/03/2019","29,385.0","29,050.0","29,444.0","29,039.0","220.22K","1.17%"
"19/03/2019","29,494.0","29,381.0","29,541.0","29,335.0","208.92K","0.37%"
"20/03/2019","29,326.0","29,500.0","29,630.0","29,261.0","219.38K","-0.57%"
"21/03/2019","29,117.0","29,339.0","29,477.0","29,071.0","234.00K","-0.71%"
"22/03/2019","29,085.0","29,100.0","29,270.0","28,838.0","248.19K","-0.11%"
"25/03/2019","28,519.0","29,065.0","29,065.0","28,422.0","260.41K","-1.95%"
"26/03/2019","28,540.0","28,539.0","28,755.0","28,410.0","264.19K","0.07%"
"27/03/2019","28,685.0","28,543.0","28,789.0","28,531.0","209.00K","0.51%"
"28/03/2019","28,719.0","28,689.0","28,745.0","28,532.0","38.96K","0.12%"
"29/03/2019","29,077.0","28,797.0","29,181.0","28,735.0","198.93K","1.25%"
"01/04/2019","29,586.0","29,072.0","29,681.0","29,034.0","182.74K","1.75%"
"02/04/2019","29,739.0","29,580.0","29,749.0","29,565.0","173.46K","0.52%"
"03/04/2019","29,963.0","29,737.0","30,059.0","29,644.0","205.08K","0.75%"
"04/04/2019","30,003.0","29,953.0","30,131.0","29,810.0","204.05K","0.13%"
"08/04/2019","30,127.0","29,993.0","30,220.0","29,965.0","197.90K","0.41%"
"09/04/2019","30,204.0","30,118.0","30,295.0","30,071.0","184.23K","0.26%"
"10/04/2019","30,121.0","30,216.0","30,272.0","29,944.0","196.08K","-0.27%"
"11/04/2019","29,821.0","30,129.0","30,225.0","29,799.0","225.47K","-1.00%"
"12/04/2019","29,950.0","29,821.0","29,991.0","29,706.0","196.89K","0.43%"
"15/04/2019","29,825.0","29,978.0","30,336.0","29,767.0","247.24K","-0.42%"
"16/04/2019","30,124.0","29,828.0","30,189.0","29,684.0","224.25K","1.00%"
"17/04/2019","30,157.0","30,131.0","30,205.0","30,008.0","210.54K","0.11%"
"18/04/2019","29,940.0","30,146.0","30,235.0","29,882.0","209.13K","-0.72%"
"23/04/2019","29,950.0","29,954.0","30,109.0","29,742.0","236.61K","0.03%"
"24/04/2019","29,760.0","29,939.0","30,129.0","29,650.0","301.52K","-0.63%"
"25/04/2019","29,516.0","29,772.0","29,853.0","29,501.0","283.97K","-0.82%"
"26/04/2019","29,578.0","29,540.0","29,685.0","29,412.0","229.28K","0.21%"
"29/04/2019","29,818.0","29,570.0","29,835.0","29,547.0","42.04K","0.81%"
"30/04/2019","29,467.0","29,667.0","29,681.0","29,368.0","207.19K","-1.18%"
"02/05/2019","29,658.0","29,468.0","29,737.0","29,391.0","146.55K","0.65%"
"03/05/2019","29,863.0","29,672.0","29,875.0","29,412.0","173.04K","0.69%"
"06/05/2019","28,970.0","29,862.0","30,047.0","28,687.0","260.54K","-2.99%"
"07/05/2019","29,106.0","28,939.0","29,242.0","28,909.0","250.17K","0.47%"
"08/05/2019","28,793.0","29,086.0","29,086.0","28,619.0","249.09K","-1.08%"
"09/05/2019","28,024.0","28,750.0","28,798.0","28,005.0","320.03K","-2.67%"
"10/05/2019","28,327.0","28,057.0","28,588.0","27,754.0","346.05K","1.08%"
"13/05/2019","28,191.0","28,191.0","28,191.0","28,191.0","","-0.48%"
"14/05/2019","27,854.0","28,312.0","28,374.0","27,602.0","255.37K","-1.20%"
"15/05/2019","28,063.0","27,880.0","28,169.0","27,790.0","235.59K","0.75%"
"16/05/2019","28,087.0","28,068.0","28,160.0","27,791.0","241.76K","0.09%"
"17/05/2019","27,730.0","28,090.0","28,317.0","27,673.0","243.90K","-1.27%"
"20/05/2019","27,622.0","27,715.0","27,850.0","27,524.0","230.01K","-0.39%"
"21/05/2019","27,553.0","27,620.0","27,828.0","27,333.0","228.49K","-0.25%"
"22/05/2019","27,608.0","27,539.0","27,718.0","27,495.0","201.36K","0.20%"
"23/05/2019","27,227.0","27,615.0","27,673.0","27,120.0","232.14K","-1.38%"
"24/05/2019","27,307.0","27,227.0","27,438.0","27,121.0","203.52K","0.29%"
"27/05/2019","27,226.0","27,314.0","27,353.0","27,068.0","232.07K","-0.30%"
"28/05/2019","27,323.0","27,236.0","27,449.0","27,178.0","227.75K","0.36%"
"29/05/2019","27,228.0","27,316.0","27,448.0","27,139.0","203.15K","-0.35%"
"30/05/2019","27,100.0","27,221.0","27,319.0","27,042.0","36.02K","-0.47%"
"31/05/2019","26,717.0","26,929.0","27,033.0","26,703.0","204.38K","-1.41%"
"03/06/2019","26,711.0","26,727.0","26,828.0","26,578.0","209.68K","-0.02%"
"04/06/2019","26,608.0","26,747.0","26,886.0","26,505.0","218.54K","-0.39%"
"05/06/2019","26,811.0","26,629.0","27,004.0","26,586.0","216.25K","0.76%"
"06/06/2019","26,848.0","26,815.0","26,879.0","26,671.0","180.82K","0.14%"
"07/06/2019","26,809.0","26,809.0","26,809.0","26,809.0","","-0.15%"
"10/06/2019","27,469.0","26,844.0","27,516.0","26,773.0","196.93K","2.46%"
"11/06/2019","27,688.0","27,458.0","27,756.0","27,436.0","186.31K","0.80%"
"12/06/2019","27,122.0","27,688.0","27,770.0","27,106.0","196.29K","-2.04%"
"13/06/2019","27,153.0","27,120.0","27,199.0","26,702.0","251.59K","0.11%"
"14/06/2019","27,043.0","27,170.0","27,243.0","26,952.0","180.69K","-0.41%"
"17/06/2019","27,147.0","27,048.0","27,446.0","26,907.0","196.32K","0.38%"
"18/06/2019","27,442.0","27,157.0","27,519.0","27,096.0","207.01K","1.09%"
"19/06/2019","28,146.0","27,459.0","28,197.0","27,447.0","237.29K","2.57%"
"20/06/2019","28,515.0","28,146.0","28,519.0","28,080.0","209.03K","1.31%"
"21/06/2019","28,422.0","28,519.0","28,688.0","28,298.0","220.45K","-0.33%"
"24/06/2019","28,422.0","28,437.0","28,605.0","28,314.0","214.58K","0.00%"
"25/06/2019","28,158.0","28,414.0","28,489.0","28,079.0","254.82K","-0.93%"
"26/06/2019","28,190.0","28,156.0","28,275.0","27,989.0","194.18K","0.11%"
"27/06/2019","28,519.0","28,209.0","28,526.0","28,209.0","38.68K","1.17%"
"28/06/2019","28,505.0","28,553.0","28,579.0","28,367.0","154.44K","-0.05%"
"01/07/2019","28,487.5","28,487.5","28,487.5","28,487.5","","-0.06%"
"02/07/2019","28,932.0","28,514.0","29,054.0","28,478.0","180.75K","1.56%"
"03/07/2019","28,926.0","28,931.0","28,992.0","28,766.0","167.45K","-0.02%"
"04/07/2019","28,849.0","28,941.0","29,080.0","28,834.0","168.29K","-0.27%"
"05/07/2019","28,780.0","28,851.0","28,962.0","28,753.0","151.36K","-0.24%"
"08/07/2019","28,360.0","28,775.0","28,800.0","28,213.0","202.21K","-1.46%"
"09/07/2019","28,103.0","28,354.0","28,444.0","28,091.0","191.41K","-0.91%"
"10/07/2019","28,202.0","28,100.0","28,345.0","28,087.0","163.25K","0.35%"
